,score
325,5.0
326,5.0
327,9.0
328,4.375
329,7.875
330,4.0
331,7.0
332,5.0
333,6.125
334,7.0
335,4.5
336,5.0
337,5.25
338,1.875
339,5.0
340,3.125
341,7.0
342,7.875
343,7.0
344,5.625
345,4.375
346,7.0
347,4.0
348,7.875
349,3.0
350,6.125
351,7.0
352,5.25
353,4.0
354,7.875
355,4.375
356,4.5
357,3.75
358,8.0
359,4.375
360,8.0
361,7.875
362,7.0
363,6.75
364,7.0
365,7.0
366,7.0
367,3.5
368,7.875
369,5.25
370,4.0
371,8.0
372,4.375
373,6.25
374,7.875
375,7.0
376,4.5
377,3.0
378,4.0
379,6.25
380,4.0
381,6.125
382,4.0
383,3.0
384,7.0
385,4.5
386,1.0
387,9.0
388,7.875
389,9.0
390,7.0
391,8.0
392,7.0
393,4.0
394,6.75
395,7.0
396,5.0
397,7.0
398,4.5
399,7.875
400,7.875
401,7.875
402,6.0
403,7.875
404,2.0
405,5.25
406,6.125
407,5.0
408,5.0
409,3.0
410,4.375
411,6.0
412,8.0
413,6.125
414,7.0
415,5.0
416,8.0
417,4.0
418,6.75
419,5.0
420,8.75
421,5.625
422,3.75
423,5.625
424,7.875
425,4.5
426,3.5
427,6.25
428,6.0
429,3.5
430,9.0
431,5.25
432,4.0
433,3.5
434,7.0
435,7.0
436,7.0
437,4.0
438,4.0
439,6.125
440,6.125
441,7.875
442,6.25
443,3.0
444,5.0
445,7.875
446,6.75
447,7.5
448,4.5
449,7.0
450,5.25
451,7.875
452,6.75
453,7.0
454,5.625
455,6.75
456,3.125
457,3.5
458,7.0
459,3.5
460,3.0
461,7.0
462,5.0
463,5.625
464,7.5
465,7.0
466,7.0
467,7.5
468,8.75
469,6.75
470,5.25
471,6.125
472,4.0
473,9.0
474,2.5
475,5.0
476,7.875
477,6.25
478,7.0
479,8.0
480,5.625
481,6.125
482,7.0
483,7.0
484,4.0
485,7.875
486,4.5
487,5.0
488,3.5
489,2.0
490,4.0
491,6.75
492,4.5
493,5.0
494,7.875
495,8.0
496,4.5
497,7.875
498,6.25
499,6.125
500,4.0
501,7.5
502,7.0
503,5.25
504,6.125
505,5.0
506,4.375
507,7.875
508,5.625
509,7.0
510,6.125
511,7.0
512,5.0
513,7.0
514,7.0
515,3.75
516,7.875
517,6.75
518,5.0
519,7.0
520,7.875
521,6.75
522,4.5
523,5.0
524,6.75
525,3.0
526,4.5
527,2.0
528,4.0
529,3.5
530,6.125
531,4.375
532,7.875
533,6.125
534,8.0
535,6.0
536,2.5
537,8.75
538,5.0
539,6.125
540,2.0
541,3.5
542,7.875
543,5.625
544,7.0
545,8.0
546,5.0
547,7.0
548,4.5
549,5.0
550,6.0
551,1.0
552,5.25
553,3.5
554,7.0
555,7.875
556,6.75
557,7.0
558,3.5
559,4.375
560,5.625
561,5.625
562,7.875
563,7.0
564,7.0
565,6.125
566,3.0
567,4.0
568,2.5
569,4.0
570,5.0
571,5.25
572,7.0
573,1.875
574,5.0
575,5.25
576,8.0
577,7.875
578,4.375
579,3.0
580,5.0
581,3.125
582,4.0
583,7.0
584,4.375
585,7.5
586,4.5
587,3.0
588,4.375
589,7.875
590,8.0
591,3.75
592,5.0
593,5.625
594,5.25
595,7.875
596,3.75
597,8.0
598,4.5
599,5.0
600,7.875
601,6.125
602,8.0
603,7.0
604,7.875
605,6.75
606,4.5
607,6.125
608,7.875
609,5.0
610,7.875
611,7.0
612,5.0
613,7.5
614,6.125
615,8.0
616,4.5
617,3.0
618,5.0
619,2.0
620,5.625
621,7.0
622,3.125
623,5.0
624,4.0
625,6.125
626,5.25
627,5.625
628,6.75
629,7.0
630,6.75
631,5.25
632,5.0
633,3.0
634,6.125
635,5.625
636,3.0
637,7.0
638,6.125
639,6.0
640,3.5
641,4.0
642,5.0
643,6.25
644,5.0
645,8.0
646,3.0
647,5.25
648,6.0
649,7.0
650,5.0
651,6.125
652,6.25
653,4.0
654,8.75
655,4.375
656,4.0
657,6.25
658,7.0
659,4.0
660,5.25
661,1.0
662,7.875
663,7.0
664,5.625
665,5.625
666,7.875
667,7.5
668,4.375
669,6.75
670,3.0
671,5.0
672,2.0
673,5.25
674,4.0
675,4.5
676,6.25
677,5.0
678,9.0
679,6.0
680,7.0
681,4.0
682,7.875
683,2.0
684,6.25
685,2.5
686,3.0
687,4.0
688,5.25
689,7.875
690,7.0
691,6.0
692,4.0
693,4.5
694,6.125
695,5.25
696,5.25
697,6.75
698,4.5
699,7.875
700,6.25
701,3.75
702,4.0
703,7.0
704,3.75
705,7.875
706,3.5
707,7.0
708,3.75
709,4.0
710,5.0
711,5.25
712,4.5
713,3.5
714,4.375
715,5.25
716,4.375
717,4.5
718,4.375
719,9.0
720,8.0
721,4.0
722,4.375
723,7.875
724,7.0
725,4.0
726,5.0
727,6.75
728,5.0
729,7.0
730,6.25
731,5.625
732,7.875
733,6.75
734,4.0
735,5.0
736,7.0
737,6.0
738,5.0
739,6.125
740,5.0
741,7.875
742,6.75
743,6.125
744,5.25
745,3.75
746,7.875
747,8.0
748,4.375
749,5.25
750,6.0
751,3.75
752,3.5
753,5.0
754,7.875
755,8.0
756,7.875
757,5.625
758,6.125
759,4.375
760,6.125
761,6.125
762,4.5
763,7.0
764,7.875
765,4.0
766,7.0
767,7.0
768,6.25
769,6.125
770,6.125
771,4.0
772,5.0
773,7.875
774,6.125
775,6.125
776,4.0
777,5.625
778,6.125
779,8.0
780,7.875
781,6.0
782,4.375
783,4.375
784,2.5
785,7.875
786,5.0
787,6.125
788,6.0
789,4.0
790,6.75
791,5.0
792,4.375
793,5.625
794,6.75
795,7.0
796,5.0
797,6.0
798,7.875
799,4.375
800,5.625
801,7.875
802,9.0
803,5.625
804,7.875
805,7.875
806,6.125
807,5.25
808,7.875
809,8.75
810,7.875
811,8.0
812,4.5
813,5.0
814,6.125
815,6.75
816,7.875
817,4.0
818,7.875
819,7.875
820,4.5
821,6.75
822,5.0
823,7.0
824,5.625
825,5.25
826,4.5
827,4.5
828,4.0
829,6.125
830,4.5
831,5.0
832,7.875
833,5.0
834,5.25
835,5.0
836,6.25
837,5.0
838,6.125
839,7.0
840,4.375
841,8.0
842,3.0
843,6.125
844,9.0
845,5.0
846,3.75
847,5.0
848,5.0
849,6.0
850,7.875
851,5.0
852,5.625
853,6.125
854,3.0
855,4.5
856,5.25
857,6.75
858,3.75
859,6.125
860,2.0
861,7.0
862,5.0
863,6.75
864,6.25
865,9.0
866,7.875
867,5.625
868,5.0
869,4.5
870,5.0
871,6.0
872,6.0
873,7.875
874,7.875
875,5.0
876,7.875
877,3.125
878,4.5
879,6.0
880,5.25
881,4.0
882,7.0
883,8.75
884,7.0
885,7.5
886,7.5
887,6.75
888,7.875
889,6.75
890,3.5
891,8.75
892,5.0
893,4.5
894,3.0
895,5.625
896,4.5
897,8.75
898,7.0
899,3.125
900,4.0
901,4.375
902,7.0
903,6.25
904,5.25
905,6.25
906,5.0
907,7.0
908,7.0
909,7.0
910,5.25
911,5.0
912,4.375
913,7.875
914,7.875
915,2.0
916,6.25
917,7.0
918,4.0
919,6.0
920,7.875
921,7.0
922,7.0
923,6.125
924,7.5
925,5.25
926,7.0
927,5.0
928,3.0
929,4.0
930,5.0
931,5.25
932,5.0
933,7.0
934,8.0
935,6.125
936,5.625
937,6.25
938,8.0
939,8.0
940,6.125
941,6.125
942,9.0
943,7.875
944,6.0
945,9.0
946,5.25
947,4.0
948,4.0
949,8.0
950,7.875
951,4.375
952,5.625
953,5.25
954,7.0
955,4.0
956,7.875
957,7.0
958,5.0
959,6.0
960,7.875
961,4.5
962,5.0
963,7.0
964,5.0
965,5.25
966,3.0
967,6.0
968,6.125
969,8.0
970,7.875
971,5.0
972,5.0
973,1.0
974,7.0
975,5.625
976,7.875
977,5.0
978,7.875
979,6.125
980,7.875
981,7.0
982,6.75
983,4.375
984,7.875
985,4.375
986,6.75
987,6.0
988,4.0
989,7.0
990,2.0
991,6.125
992,6.75
993,5.625
994,4.0
995,7.0
996,3.0
997,4.0
998,5.625
999,6.0
1000,8.0
1001,6.25
1002,6.0
1003,3.125
1004,3.5
1005,5.25
1006,7.0
1007,6.125
1008,6.75
1009,7.875
1010,8.75
1011,5.0
1012,5.625
1013,5.625
1014,5.25
1015,6.75
1016,5.625
1017,6.0
1018,5.625
1019,7.0
1020,6.0
1021,7.0
1022,4.0
1023,7.875
1024,1.0
1025,8.0
1026,5.625
1027,2.0
1028,6.0
1029,6.75
1030,7.0
1031,5.0
1032,1.0
1033,5.0
1034,2.5
1035,6.0
1036,7.0
1037,5.25
1038,5.625
1039,3.0
1040,7.875
1041,7.875
1042,5.0
1043,5.625
1044,5.25
1045,7.875
1046,8.0
1047,6.0
1048,7.5
1049,7.0
1050,5.25
1051,7.875
1052,5.25
1053,7.0
1054,7.875
1055,5.0
1056,8.0
1057,7.0
1058,5.25
1059,7.0
1060,7.0
1061,7.875
1062,7.875
1063,5.25
1064,7.875
1065,5.25
1066,5.0
1067,9.0
1068,7.0
1069,5.0
1070,9.0
1071,4.0
1072,9.0
1073,7.875
1074,6.125
1075,6.25
1076,5.0
1077,6.25
1078,5.25
1079,6.125
1080,5.0
1081,5.625
1082,7.0
1083,7.0
1084,6.75
1085,7.875
1086,6.0
1087,3.0
1088,7.875
1089,6.75
1090,4.375
1091,7.0
1092,6.0
1093,4.0
1094,7.0
1095,5.0
1096,5.625
1097,3.0
1098,6.125
1099,5.25
1100,6.125
1101,3.0
1102,5.0
1103,7.0
1104,3.5
1105,4.5
1106,5.625
1107,4.0
1108,6.0
1109,4.375
1110,5.625
1111,7.875
1112,6.0
1113,6.0
1114,6.25
1115,3.75
1116,4.0
1117,1.875
1118,6.0
1119,6.75
1120,6.75
1121,5.625
1122,7.875
1123,5.0
1124,5.25
1125,5.0
1126,6.0
1127,7.875
1128,5.25
1129,3.0
1130,7.0
1131,8.0
1132,5.625
1133,4.375
1134,7.875
1135,7.875
1136,6.125
1137,3.0
1138,5.625
1139,3.75
1140,5.25
1141,4.0
1142,7.0
1143,7.875
1144,8.0
1145,5.0
1146,7.875
1147,8.0
1148,5.0
1149,6.0
1150,7.5
1151,6.75
1152,5.0
1153,7.875
1154,5.0
1155,5.0
1156,3.0
1157,7.0
1158,6.0
1159,7.875
1160,7.0
1161,4.5
1162,7.0
1163,3.75
1164,5.625
1165,6.125
1166,4.375
1167,6.25
1168,7.875
1169,5.0
1170,6.25
1171,4.0
1172,3.0
1173,9.0
1174,8.0
1175,6.25
1176,7.875
1177,5.0
1178,5.625
1179,5.25
1180,3.0
1181,8.0
1182,2.0
1183,5.0
1184,6.0
1185,6.75
1186,7.0
1187,7.0
1188,5.0
1189,3.0
1190,6.125
1191,8.0
1192,3.5
1193,7.875
1194,2.5
1195,7.875
1196,9.0
1197,6.25
1198,7.875
1199,6.125
1200,4.0
1201,6.125
1202,4.0
1203,5.0
1204,7.875
1205,6.0
1206,7.875
1207,5.0
1208,8.0
1209,6.75
1210,8.0
1211,3.75
1212,3.125
1213,7.5
1214,5.0
1215,2.5
1216,8.75
1217,2.5
1218,5.0
1219,4.0
1220,5.0
1221,6.75
1222,5.0
1223,6.75
1224,7.0
1225,4.0
1226,6.0
1227,7.0
1228,5.25
1229,4.5
1230,7.875
1231,5.0
1232,7.0
1233,9.0
1234,7.0
1235,4.0
1236,6.125
1237,4.0
1238,8.0
1239,6.125
1240,4.0
1241,6.25
1242,8.0
1243,5.0
1244,5.625
1245,2.0
1246,6.125
1247,1.0
1248,3.125
1249,4.375
1250,6.0
1251,5.0
1252,4.5
1253,3.75
1254,4.375
1255,4.0
1256,4.5
1257,7.875
1258,4.0
1259,7.875
1260,6.0
1261,5.0
1262,8.0
1263,6.125
1264,6.125
1265,5.25
1266,6.125
1267,5.25
1268,6.125
1269,3.0
1270,4.5
1271,7.875
1272,4.5
1273,8.75
1274,1.0
1275,7.875
1276,5.0
1277,3.75
1278,7.0
1279,5.0
1280,6.125
1281,6.125
1282,7.875
1283,6.0
1284,9.0
1285,6.0
1286,6.75
1287,6.75
1288,7.0
1289,6.0
1290,6.0
1291,5.25
1292,5.0
1293,5.0
1294,6.125
1295,3.5
1296,7.875
1297,7.875
1298,7.0
1299,6.0
1300,6.125
1301,7.0
1302,4.5
1303,7.0
1304,6.75
1305,7.0
1306,8.75
1307,2.5
1308,7.875
1309,5.0
1310,7.0
1311,6.125
1312,6.75
1313,3.0
1314,9.0
1315,2.0
1316,6.125
1317,5.0
1318,5.0
1319,7.0
1320,6.75
1321,6.125
1322,4.5
1323,2.0
1324,3.125
1325,1.0
1326,7.0
1327,3.5
1328,7.0
1329,7.0
1330,5.25
1331,7.0
1332,7.0
1333,6.75
1334,8.75
1335,7.0
1336,7.0
1337,4.0
1338,5.0
1339,5.625
1340,5.25
1341,4.0
1342,7.0
1343,4.5
1344,4.0
1345,5.0
1346,6.75
1347,6.125
1348,7.0
1349,7.0
1350,7.0
1351,6.0
1352,6.0
1353,4.375
1354,4.0
1355,8.0
1356,6.125
1357,7.0
1358,3.125
1359,4.5
1360,5.0
1361,6.125
1362,8.0
1363,5.0
1364,2.5
1365,6.125
1366,8.0
1367,7.875
1368,6.0
1369,5.0
1370,6.125
1371,5.0
1372,5.0
1373,3.0
1374,9.0
1375,6.0
1376,5.25
1377,6.125
1378,5.25
1379,3.5
1380,6.25
1381,3.0
1382,6.125
1383,4.375
1384,7.0
1385,4.5
1386,7.0
1387,5.0
1388,6.125
1389,2.5
1390,4.375
1391,4.375
1392,7.875
1393,5.25
1394,8.0
1395,6.0
1396,7.0
1397,9.0
1398,5.0
1399,1.0
1400,4.0
1401,5.0
1402,6.0
1403,5.0
1404,7.0
1405,6.125
1406,4.0
1407,6.125
1408,4.0
1409,5.0
1410,7.0
1411,4.375
1412,6.0
1413,6.0
1414,5.0
1415,5.0
1416,6.0
1417,4.5
1418,2.0
1419,6.125
1420,7.0
1421,3.75
1422,6.125
1423,7.875
1424,5.25
1425,7.0
1426,7.5
1427,3.0
1428,4.5
1429,7.875
1430,3.5
1431,4.0
1432,7.0
1433,4.0
1434,6.75
1435,4.5
1436,5.25
1437,5.625
1438,6.0
1439,4.375
1440,4.0
1441,5.0
1442,7.875
1443,5.625
1444,8.0
1445,5.0
1446,5.625
1447,4.5
1448,5.25
1449,7.0
1450,4.375
1451,5.0
1452,5.0
1453,7.0
1454,6.0
1455,7.0
1456,3.75
1457,5.0
1458,7.875
1459,6.125
1460,4.5
1461,7.0
1462,8.0
1463,7.875
1464,5.25
1465,5.0
1466,4.0
1467,3.0
1468,3.0
1469,7.0
1470,4.0
1471,4.0
1472,7.0
1473,1.875
1474,4.0
1475,4.0
1476,7.5
1477,8.0
1478,6.75
1479,2.0
1480,6.0
1481,7.0
1482,4.375
1483,5.25
1484,4.375
1485,5.0
1486,4.0
1487,7.875
1488,7.875
1489,7.875
1490,7.0
1491,5.625
1492,5.25
1493,5.0
1494,4.5
1495,7.0
1496,6.125
1497,5.25
1498,5.0
1499,5.25
1500,5.0
1501,5.0
1502,6.125
1503,6.75
1504,5.0
1505,4.375
1506,5.0
1507,6.0
1508,3.5
1509,2.5
1510,5.0
1511,7.875
1512,5.625
1513,4.5
1514,5.0
1515,5.625
1516,5.0
1517,5.0
1518,2.0
1519,6.0
1520,4.375
1521,9.0
1522,6.125
1523,5.625
1524,3.0
1525,7.0
1526,6.0
1527,7.875
1528,7.875
1529,5.0
1530,5.0
1531,5.0
1532,5.625
1533,7.875
1534,7.5
1535,6.25
1536,5.0
1537,5.625
1538,4.375
1539,5.0
1540,3.0
1541,4.375
1542,7.0
1543,7.0
1544,5.625
1545,5.25
1546,7.875
1547,5.625
1548,4.0
1549,7.875
1550,7.5
1551,4.5
1552,5.25
1553,5.0
1554,3.0
1555,7.0
1556,6.0
1557,7.0
1558,4.5
1559,3.75
1560,9.0
1561,5.625
1562,7.875
1563,3.0
1564,6.125
1565,6.0
1566,5.25
1567,5.625
1568,4.5
1569,8.0
1570,6.25
1571,1.0
1572,4.0
1573,5.0
1574,9.0
1575,7.0
1576,5.0
1577,7.0
1578,7.0
1579,7.875
1580,4.0
1581,6.75
1582,5.25
1583,6.75
1584,5.0
1585,8.75
1586,6.75
1587,6.125
1588,7.0
1589,4.375
1590,6.125
1591,5.25
1592,4.375
1593,1.0
1594,5.25
1595,6.0
1596,8.0
1597,2.5
1598,6.125
1599,6.75
